open,high,low,close,volume,trade_count,vwap
46.86,49.25,46.63,49.1,82663736.0,318127.0,48.190162
48.03,49.39,47.54,48.6,74995223.0,302295.0,48.543463
48.02,48.86,47.86,48.39,50727721.0,208016.0,48.406818
49.35,49.39,48.04,48.25,61184757.0,269358.0,48.538846
47.85,48.3,47.14,47.83,55647379.0,234978.0,47.721219
48.94,49.96,48.39,48.97,78058097.0,322949.0,49.292321
49.26,49.29,48.0,48.165,45639564.0,202377.0,48.479728
48.66,48.86,48.24,48.745,36235093.0,148727.0,48.588366
48.64,49.035,47.91,48.21,39967297.0,170850.0,48.383678
48.23,49.08,48.12,48.545,41182842.0,169115.0,48.646251
49.17,50.31,48.99,49.77,60898790.0,239223.0,49.633417
50.2,51.05,49.9,50.93,59848014.0,231889.0,50.528318
50.96,51.81,50.7,51.05,50926617.0,209599.0,51.269198
51.63,51.875,51.195,51.43,42460979.0,177525.0,51.547213
51.34,51.745,50.74,51.71,41397188.0,174012.0,51.257388
52.2803,52.81,49.47,50.35,82450070.0,351222.0,50.922491
48.45,49.79,47.9,49.26,51463916.0,235113.0,49.149752
50.03,50.85,49.48,50.53,64105625.0,281124.0,50.210628
47.84,48.07,46.1,47.51,114772903.0,489179.0,47.001466
46.49,48.81,46.13,48.78,72096603.0,296229.0,47.445327
48.4,48.58,46.79,47.0,61620013.0,267914.0,47.648752
46.4,48.1,46.23,48.02,48352951.0,219265.0,47.452241
49.21,49.75,48.61,49.45,47825801.0,210018.0,49.256615
50.29,50.42,49.31,49.84,44002473.0,192487.0,49.773214
48.8,49.39,47.63,49.32,49745785.0,227480.0,48.712379
48.91,50.665,48.635,49.73,53988058.0,242682.0,50.058113
49.47,52.3,49.35,52.26,62088017.0,272495.0,51.411697
53.22,54.48,52.91,53.8,76254844.0,335031.0,53.899629
54.53,54.85,53.53,53.89,47523513.0,206376.0,54.004181
53.43,55.03,53.34,54.53,53156613.0,226828.0,54.490065
55.19,55.4,54.56,55.31,58570243.0,196559.0,55.108673
54.94,58.13,54.84,56.89,72548433.0,308803.0,56.701106
57.99,59.27,57.51,58.9,60323773.0,270044.0,58.608981
58.44,59.02,56.15,57.27,75932877.0,359322.0,57.568608
56.71,56.8,52.89,53.28,90493741.0,399040.0,54.354428
48.175,50.275,47.49,49.12,89765493.0,393340.0,49.254973
51.145,51.24,47.12,47.57,91190386.0,363410.0,48.428438
47.7,49.29,47.07,47.49,88816099.0,390707.0,48.22358
45.38,46.24,42.21,44.01,109269138.0,479417.0,44.548439
41.355,46.15,41.04,45.48,104542310.0,500464.0,43.98999
47.42,47.68,44.66,47.46,104756887.0,538721.0,46.342418
49.03,50.2,45.67,46.72,144384377.0,727653.0,48.136779
48.25,50.14,47.2101,50.11,95385328.0,435800.0,48.747584
48.68,49.72,47.51,48.11,100722705.0,451204.0,48.56406
49.44,49.54,46.74,48.59,127462740.0,645978.0,47.916425
43.03,46.34,42.51,43.27,83680976.0,342338.0,44.498926
45.41,45.44,43.1,45.38,78812359.0,337471.0,44.552668
44.19,45.97,43.8,45.7,105153794.0,488477.0,45.102475
42.0,42.5,39.0,39.01,111245876.0,448041.0,40.851886
42.2,43.91,39.6,43.8862,89613076.0,380302.0,41.701818
39.08,43.37,38.51,38.71,87764900.0,374966.0,41.064877
40.19,42.88,38.3,41.88,94980424.0,434523.0,41.127323
39.54,41.95,36.75,39.12,109133738.0,591865.0,39.638836
39.56,41.7,37.69,39.82,90850640.0,396390.0,40.244665
41.51,42.4825,39.58,39.6027,110538767.0,532758.0,41.215564
40.62,42.32,38.95,41.64,104264842.0,493188.0,40.733967
44.04,46.81,43.99,46.22,109621095.0,535463.0,45.734477
46.79,47.875,44.425,44.63,96458336.0,488904.0,46.566675
45.78,47.5,45.4,47.5,76058979.0,379717.0,46.739264
46.32,47.975,45.9,46.58,76062323.0,376269.0,47.106298
47.24,48.46,46.66,47.86,69945065.0,346827.0,47.817291
47.925,48.53,45.16,45.48,86598759.0,414448.0,46.954431
44.18,46.85,43.16,43.66,94084704.0,421008.0,44.951611
43.4,45.28,43.1,44.49,80389535.0,368532.0,44.215099
44.3,44.8393,41.7,42.59,80587043.0,345564.0,43.053557
44.3,47.58,44.06,47.52,85634789.0,367012.0,46.051062
48.96,49.65,46.675,47.56,103701004.0,456178.0,48.265656
48.07,49.0,47.61,48.79,66607286.0,288316.0,48.484889
49.65,50.25,47.72,48.38,81487223.0,372622.0,49.253017
48.47,51.07,48.23,50.94,65443437.0,315985.0,49.82878
52.235,55.14,52.11,54.93,87422790.0,411070.0,54.173865
53.73,55.5699,53.41,54.99,85086446.0,340556.0,54.607687
55.96,58.08,55.63,56.95,104755213.0,444955.0,56.704761
57.35,57.755,55.55,56.6,78760664.0,359442.0,56.605578
55.98,58.63,55.85,56.97,74277390.0,329992.0,57.578529
56.9,57.73,51.41,52.92,125264488.0,603206.0,53.845052
54.91,56.15,54.34,55.92,65334721.0,284027.0,55.252495
56.65,57.285,55.64,55.9,70642668.0,300021.0,56.591773
55.1,56.78,54.42,56.18,74328670.0,310451.0,55.695542
57.44,58.0,56.25,56.49,63732458.0,267591.0,57.062874
57.16,57.35,55.3,55.51,81677446.0,369851.0,56.2717
54.53,54.86,52.74,53.66,113688003.0,555301.0,53.797141
53.43,54.29,52.03,52.39,67516777.0,330198.0,53.117253
51.07,51.95,49.09,49.88,70897875.0,344679.0,50.087218
49.815,52.61,49.73,52.56,64176803.0,309061.0,51.320418
53.43,53.51,51.29,52.19,57859190.0,277176.0,52.67235
52.42,53.31,51.88,52.16,49343054.0,245532.0,52.633339
52.93,52.9666,51.62,51.95,50099607.0,245594.0,52.105519
52.15,53.27,51.81,53.19,42160353.0,198604.0,52.781342
52.9,55.89,52.75,55.74,69793866.0,318121.0,55.014564
56.2065,56.58,53.75,53.76,56873154.0,271879.0,55.320956
54.04,55.22,51.295,52.18,78281165.0,347214.0,52.893099
52.1,54.54,51.61,54.51,75886417.0,351421.0,53.00536
53.31,54.435,52.86,54.2,68436173.0,300969.0,53.749584
54.98,55.25,54.24,54.6,50699366.0,246018.0,54.681725
54.39,56.73,54.36,55.47,62186114.0,319779.0,55.998719
56.55,56.98,55.625,56.39,52011636.0,248373.0,56.258711
56.68,56.72,54.61,54.65,49315865.0,257717.0,55.315979
54.77,55.3748,53.78,55.17,44206886.0,234311.0,54.73362
56.01,56.08,53.02,53.19,54305738.0,278998.0,54.481611
53.27,53.28,49.09,52.74,103924599.0,569527.0,51.160314
52.25,53.54,51.25,51.74,55060982.0,265099.0,52.802733
52.07,53.8,51.85,53.8,70123469.0,296737.0,52.772665
53.31,54.11,52.89,53.63,37985500.0,200431.0,53.534312
53.45,53.57,52.01,53.54,44322735.0,226924.0,52.896854
53.5965,53.65,52.33,52.73,47927840.0,259510.0,52.75934
52.59,53.74,52.2,52.63,45698235.0,235317.0,52.851989
52.99,53.57,52.08,53.1,55181084.0,298229.0,52.859582
53.3,53.35,52.26,52.97,40963672.0,221276.0,52.707866
52.9497,56.46,52.72,56.39,82404857.0,401736.0,55.451248
57.2,59.0,57.03,57.44,80052416.0,431445.0,58.05409
55.94,56.68,52.8,52.83,80871161.0,452829.0,54.642539
55.01,55.6,52.11,53.5,72459349.0,405363.0,53.715136
52.58,54.73,52.4128,54.68,58394708.0,323981.0,53.816441
55.72,56.07,53.59,54.46,52438140.0,294672.0,54.678993
54.79,55.82,54.3,54.55,49255853.0,221873.0,54.942013
54.62,55.1225,53.65,54.04,44461162.0,204742.0,54.172884
54.41,55.455,53.815,54.23,59631958.0,240691.0,54.521442
54.73,55.17,53.74,54.76,49294266.0,221922.0,54.507259
55.05,55.37,53.87,53.99,52367464.0,234622.0,54.510729
53.94,54.74,51.92,52.39,54891529.0,309554.0,52.951032
52.56,52.7,50.54,51.93,52717822.0,287634.0,51.541648
51.85,51.95,49.45,50.1,79511831.0,303053.0,50.619917
50.15,50.28,48.42,50.28,51065172.0,316725.0,49.382755
51.16,52.77,50.82,52.61,44390332.0,240579.0,52.162242
52.63,52.87,51.6,52.58,33252583.0,204584.0,52.385863
53.0335,53.19,52.0508,52.34,30183375.0,176405.0,52.48688
52.9,53.52,52.33,53.4,38141521.0,208657.0,53.071096
53.28,54.17,52.86,52.93,33054741.0,198440.0,53.443268
53.01,53.47,52.07,53.43,36726616.0,199493.0,52.798282
53.52,57.58,53.31,57.255,88749721.0,457657.0,55.895434
57.57,58.15,55.51,55.88,61003011.0,335840.0,56.467958
56.68,58.35,53.38,53.59,59280222.0,352701.0,56.174959
53.46,54.86,52.26,54.72,56171936.0,333991.0,53.786011
54.96,55.37,53.59,55.34,43616023.0,252388.0,54.556696
54.68,55.15,53.74,54.92,37728159.0,206223.0,54.449691
55.31,55.81,54.68,55.04,35563132.0,182609.0,55.134457
55.23,57.53,54.83,57.46,46144611.0,258744.0,56.543028
57.805,58.5,56.3173,57.0,45768188.0,254155.0,57.189407
57.07,62.0,56.97,61.79,136744285.0,660137.0,60.786843
61.63,62.33,58.6342,59.57,108196123.0,528960.0,60.436067
64.18,69.94,64.05,69.4,207278971.0,1030571.0,67.845107
69.28,71.63,67.79,68.97,111365425.0,561598.0,69.349198
68.1,69.8,67.02,67.61,95628450.0,505972.0,68.584452
75.5,77.19,73.9,76.09,135595303.0,712831.0,75.927854
75.37,78.96,75.07,78.2,81400549.0,477603.0,77.741299
78.67,78.96,75.36,77.43,73741083.0,427776.0,77.074478
78.19,78.5,77.06,77.67,43757036.0,269803.0,77.869591
78.03,85.805,77.99,85.04,157095451.0,702091.0,83.540233
84.96,86.32,83.32,85.31,66974779.0,386882.0,85.097719
85.49,86.98,84.7801,86.71,55483619.0,313945.0,86.141916
86.67,87.29,82.6702,84.85,67332595.0,363791.0,84.877366
85.05,85.16,79.3221,82.24,71283816.0,389441.0,81.987994
80.71,80.71,76.1,76.88,79224305.0,459795.0,78.837873
78.43,82.88,77.55,82.61,90349951.0,453437.0,81.087864
82.88,84.02,81.54,81.84,58127746.0,331342.0,82.512785
81.81,83.24,80.88,81.3,42991550.0,255298.0,81.762787
82.09,83.06,81.552,82.42,32549201.0,182965.0,82.435373
82.8,82.88,81.03,81.66,33020645.0,192721.0,81.775038
81.7757,81.85,80.45,81.09,38419366.0,222407.0,81.09979
79.74,82.84,79.12,82.77,44193450.0,236275.0,81.811397
83.29,84.41,82.23,83.81,49442667.0,279912.0,83.430168
84.55,85.33,82.55,83.08,39185211.0,248445.0,83.561209
83.36,86.62,82.35,86.35,50215498.0,271435.0,84.813746
86.9694,87.72,85.2,86.02,48216918.0,291418.0,86.167701
86.35,86.58,82.94,83.8,43049638.0,265484.0,84.36995
84.3,86.04,84.19,85.55,41838273.0,253867.0,85.169086
85.05,92.64,85.05,90.82,92142107.0,474776.0,90.119839
91.92,92.51,90.1899,92.18,57538416.0,356448.0,91.43542
94.01,94.28,88.74,90.22,51485595.0,340962.0,90.704676
87.84,88.47,81.59,82.54,89807171.0,605945.0,83.967972
81.45,84.39,76.33,82.01,84123922.0,572931.0,80.474144
78.05,81.88,78.0,78.69,56687980.0,360744.0,79.900119
81.4,82.44,79.28,81.91,56077715.0,337120.0,81.232198
83.07,83.31,78.38,78.98,52653466.0,330394.0,80.695126
79.82,79.99,75.04,76.34,55579315.0,353445.0,77.273774
76.8,78.82,76.26,77.9,49120174.0,268689.0,77.699344
77.66,80.33,75.97,78.93,58857592.0,333268.0,78.553316
79.35,79.72,76.54,76.66,39615718.0,228420.0,77.983654
74.88,76.625,74.2,76.55,57182718.0,306281.0,75.542753
77.0,77.4,73.85,74.93,55807660.0,286051.0,75.370147
74.23,77.98,73.88,77.94,62518590.0,375115.0,76.509305
